Condominium Number,Property Address,Roll Number,Sale Year,Sale Month,Sale Price,Time Adjust Sale Price
647,307 - 25 AMY ST,13099068235,2017,5,"$405,000","$409,100"
802,104 - 20 ANCASTER GATE,3091716700,2016,12,"$305,000","$314,200"
802,106 - 20 ANCASTER GATE,3091716900,2017,6,"$311,000","$316,600"
802,117 - 20 ANCASTER GATE,3091718000,2016,7,"$310,000","$319,600"
802,118 - 20 ANCASTER GATE,3091718100,2017,9,"$296,000","$299,600"
802,208 - 20 ANCASTER GATE,3091719000,2016,12,"$312,900","$322,300"
42,335 ANTRIM RD,4005177600,2017,9,"$145,000","$146,700"
42,339 ANTRIM RD,4005176800,2017,5,"$178,500","$182,100"
107,12 - 5 APPLE LANE,7438109700,2016,10,"$138,000","$140,300"
107,12 - 5 APPLE LANE,7438109700,2017,3,"$120,000","$121,400"
107,22 - 5 APPLE LANE,7438110300,2017,5,"$140,000","$141,400"
107,D - 7 APPLE LANE,7438111700,2016,8,"$197,500","$204,000"
107,C - 9 APPLE LANE,7438120800,2017,6,"$202,900","$206,600"
107,D - 23 APPLE LANE,7438118900,2016,4,"$188,500","$193,800"
107,C - 27 APPLE LANE,7438121300,2016,3,"$195,000","$200,300"
107,B - 29 APPLE LANE,7438122200,2017,7,"$185,000","$188,000"
107,C - 29 APPLE LANE,7438122300,2017,12,"$190,000","$191,100"
107,C - 31 APPLE LANE,7438121100,2016,7,"$213,000","$219,600"
107,E - 35 APPLE LANE,7438112600,2016,12,"$160,000","$164,800"
107,A - 55 APPLE LANE,7438113100,2016,4,"$179,900","$184,900"
107,D - 55 APPLE LANE,7438113400,2016,3,"$197,000","$202,300"
107,B - 63 APPLE LANE,7438123400,2018,1,"$225,000","$225,900"
107,B - 75 APPLE LANE,7438116200,2018,1,"$180,000","$180,700"
107,D - 77 APPLE LANE,7438116000,2016,12,"$172,000","$177,200"
107,B - 81 APPLE LANE,7438124100,2017,6,"$175,000","$178,200"
107,D - 81 APPLE LANE,7438124300,2016,1,"$195,365","$200,200"
107,C - 83 APPLE LANE,7438113700,2017,6,"$200,000","$203,600"
107,15 - 85 APPLE LANE,7438114300,2016,2,"$148,000","$149,300"
107,36 - 85 APPLE LANE,7438115400,2016,9,"$138,500","$140,700"
473,2 ARBUTHNOT ST,12097539800,2017,7,"$352,500","$358,100"
772,1 - 944 ARCHIBALD ST,6093367100,2016,9,"$120,000","$124,100"
772,10 - 944 ARCHIBALD ST,6093368200,2016,9,"$140,000","$144,800"
772,2 - 944 ARCHIBALD ST,6093368600,2017,4,"$100,000","$102,200"
772,4 - 944 ARCHIBALD ST,6093368500,2016,10,"$135,000","$139,700"
772,8 - 944 ARCHIBALD ST,6093368300,2017,10,"$132,000","$133,300"
772,9 - 944 ARCHIBALD ST,6093367500,2016,12,"$140,000","$144,200"
285,103 - 9 ARDEN AVE,8004224400,2017,9,"$129,000","$129,800"
285,109 - 9 ARDEN AVE,8004224700,2017,4,"$130,000","$131,400"
285,310 - 9 ARDEN AVE,8004226600,2016,4,"$138,500","$140,000"
285,504 - 9 ARDEN AVE,8004228900,2016,11,"$144,500","$146,800"
39,304 - 34 ARDEN AVE,8004016900,2016,12,"$147,000","$149,200"
739,3 - 364 ASHLAND AVE,12097759200,2017,2,"$155,000","$157,000"
739,6 - 364 ASHLAND AVE,12097759500,2017,9,"$150,000","$150,900"
739,7 - 364 ASHLAND AVE,12097759600,2017,9,"$131,500","$132,300"
566,1 - 277 ATLANTIC AVE,14100020900,2016,8,"$60,000","$60,900"
566,19 - 277 ATLANTIC AVE,14100022400,2018,3,"$38,500","$38,500"
566,9 - 277 ATLANTIC AVE,14100021600,2017,1,"$46,000","$46,600"
170,443 AUGIER AVE,7206430700,2016,11,"$165,000","$170,400"
170,449 AUGIER AVE,7206431000,2016,1,"$200,000","$205,000"
398,11 - 55 BAIRDMORE BLVD,3067700800,2016,10,"$355,000","$367,400"
398,15 - 55 BAIRDMORE BLVD,3067700500,2016,2,"$300,000","$307,800"
398,16 - 55 BAIRDMORE BLVD,3067700600,2017,10,"$370,000","$373,700"
398,27 - 55 BAIRDMORE BLVD,3067699100,2017,6,"$425,000","$432,700"
398,38 - 55 BAIRDMORE BLVD,3067699600,2016,9,"$387,000","$400,200"
398,8 - 55 BAIRDMORE BLVD,3067700200,2017,4,"$339,900","$347,400"
180,1101 - 1044 BAIRDMORE BLVD,3060126100,2017,4,"$146,000","$147,600"
180,1202 - 1044 BAIRDMORE BLVD,3060128400,2016,8,"$158,000","$160,400"
180,1203 - 1044 BAIRDMORE BLVD,3060127400,2016,12,"$157,000","$159,400"
180,1210 - 1044 BAIRDMORE BLVD,3060128000,2017,10,"$136,250","$136,900"
180,1212 - 1044 BAIRDMORE BLVD,3060127900,2016,7,"$140,000","$142,000"
180,1307 - 1044 BAIRDMORE BLVD,3060128800,2016,4,"$167,000","$168,800"
180,2105 - 1048 BAIRDMORE BLVD,3060129900,2016,5,"$158,500","$160,400"
180,2203 - 1048 BAIRDMORE BLVD,3060130900,2016,8,"$165,000","$167,500"
180,2210 - 1048 BAIRDMORE BLVD,3060131500,2017,8,"$156,000","$157,100"
180,2302 - 1048 BAIRDMORE BLVD,3060133100,2016,5,"$171,900","$174,000"
180,2302 - 1048 BAIRDMORE BLVD,3060133100,2017,4,"$169,500","$171,400"
180,2306 - 1048 BAIRDMORE BLVD,3060132900,2017,8,"$140,000","$141,000"
867,2 - 370 BALFOUR AVE,12097803825,2016,4,"$185,000","$187,000"
867,3 - 370 BALFOUR AVE,12097803835,2016,2,"$170,000","$171,500"
867,A - 370 BALFOUR AVE,12097803815,2016,2,"$170,000","$171,500"
867,B - 370 BALFOUR AVE,12097803820,2017,1,"$113,000","$114,600"
271,204 - 167 BANNATYNE AVE,13062832400,2017,6,"$350,000","$353,200"
271,209 - 167 BANNATYNE AVE,13062830900,2016,4,"$439,900","$444,700"
271,214 - 167 BANNATYNE AVE,13062831400,2016,6,"$435,000","$440,700"
271,214 - 167 BANNATYNE AVE,13062831400,2016,11,"$465,000","$472,400"
271,216 - 167 BANNATYNE AVE,13062831600,2017,8,"$283,000","$285,000"
271,218 - 167 BANNATYNE AVE,13062831800,2016,6,"$240,000","$243,100"
271,315 - 167 BANNATYNE AVE,13062833500,2016,7,"$301,000","$305,200"
271,316 - 167 BANNATYNE AVE,13062833600,2017,11,"$290,000","$291,200"
271,320 - 167 BANNATYNE AVE,13062834000,2017,5,"$410,000","$414,100"
271,415 - 167 BANNATYNE AVE,13062835500,2016,5,"$230,000","$232,800"
271,418 - 167 BANNATYNE AVE,13062835800,2016,2,"$290,000","$292,600"
271,501 - 167 BANNATYNE AVE,13062838100,2016,8,"$327,500","$332,400"
271,508 - 167 BANNATYNE AVE,13062836800,2016,11,"$370,000","$375,900"
271,516 - 167 BANNATYNE AVE,13062837600,2016,9,"$269,900","$274,200"
271,520 - 167 BANNATYNE AVE,13062838000,2016,7,"$411,000","$416,800"
271,605 - 167 BANNATYNE AVE,13062840500,2016,4,"$422,500","$427,100"
271,606 - 167 BANNATYNE AVE,13062840600,2018,3,"$459,000","$459,000"
271,607 - 167 BANNATYNE AVE,13062838700,2017,10,"$462,000","$464,300"
271,608 - 167 BANNATYNE AVE,13062838800,2016,8,"$280,000","$284,200"
271,610 - 167 BANNATYNE AVE,13062839000,2016,11,"$450,000","$457,200"
435,301 - 181 BANNATYNE AVE,13096062400,2016,6,"$440,000","$445,700"
435,302 - 181 BANNATYNE AVE,13096062100,2017,6,"$434,000","$437,900"
435,403 - 181 BANNATYNE AVE,13096062600,2017,2,"$420,000","$425,500"
435,604 - 181 BANNATYNE AVE,13096063500,2017,2,"$420,000","$425,500"
463,402 - 283 BANNATYNE AVE,13096088900,2017,8,"$259,900","$261,700"
463,600 - 283 BANNATYNE AVE,13096049800,2016,8,"$350,000","$355,300"
463,603 - 283 BANNATYNE AVE,13096050100,2016,5,"$340,000","$344,100"
827,2 - 64 BARNES ST,3092977035,2017,9,"$328,500","$332,400"
827,6 - 64 BARNES ST,3092977055,2017,10,"$359,000","$362,600"
827,2 - 66 BARNES ST,3092977065,2017,10,"$353,900","$357,400"
827,6 - 66 BARNES ST,3092977085,2016,6,"$355,000","$365,700"
982,103 - 70 BARNES ST,3092984275,2017,6,"$231,000","$233,100"
982,111 - 70 BARNES ST,3092984295,2016,12,"$230,000","$233,500"
982,112 - 70 BARNES ST,3092984310,2017,6,"$230,000","$232,100"
982,202 - 70 BARNES ST,3092984405,2018,2,"$285,000","$285,300"
982,214 - 70 BARNES ST,3092984375,2016,3,"$274,000","$276,700"
982,304 - 70 BARNES ST,3092984470,2017,2,"$233,000","$236,000"
982,310 - 70 BARNES ST,3092984455,2017,11,"$280,000","$281,100"
982,401 - 70 BARNES ST,3092984480,2017,6,"$261,000","$263,300"
982,412 - 70 BARNES ST,3092984520,2016,10,"$236,000","$240,000"
982,414 - 70 BARNES ST,3092984515,2016,11,"$299,900","$304,700"
982,501 - 70 BARNES ST,3092984550,2016,6,"$279,000","$282,600"
982,506 - 70 BARNES ST,3092984605,2016,5,"$275,000","$278,300"
982,609 - 70 BARNES ST,3092984640,2016,9,"$270,000","$274,300"
982,701 - 70 BARNES ST,3092984690,2016,6,"$270,000","$273,500"
982,704 - 70 BARNES ST,3092984750,2016,7,"$242,000","$245,400"
982,711 - 70 BARNES ST,3092984715,2017,5,"$237,000","$239,400"
982,713 - 70 BARNES ST,3092984720,2017,8,"$319,900","$322,100"
982,107 - 80 BARNES ST,3092989750,2017,7,"$296,000","$298,400"
982,110 - 80 BARNES ST,3092989765,2017,8,"$213,000","$214,500"
982,210 - 80 BARNES ST,3092989845,2016,5,"$219,300","$221,900"
982,214 - 80 BARNES ST,3092989865,2016,8,"$220,000","$223,300"
982,401 - 80 BARNES ST,3092989960,2017,11,"$295,000","$296,200"
982,615 - 80 BARNES ST,3092990190,2017,9,"$260,000","$261,600"
982,711 - 80 BARNES ST,3092990245,2017,6,"$250,000","$252,300"
982,712 - 80 BARNES ST,3092990250,2017,8,"$220,000","$221,500"
982,713 - 80 BARNES ST,3092990255,2016,9,"$235,000","$238,800"
827,1 - 84 BARNES ST,3092977090,2016,3,"$364,900","$374,800"
827,3 - 84 BARNES ST,3092977100,2016,5,"$325,000","$334,400"
827,2 - 86 BARNES ST,3092976945,2018,1,"$324,000","$325,300"
827,1 - 92 BARNES ST,3092977185,2017,7,"$362,000","$367,800"
827,1 - 94 BARNES ST,3092977005,2017,1,"$370,000","$380,400"
827,2 - 94 BARNES ST,3092977000,2016,5,"$292,000","$300,500"
827,3 - 94 BARNES ST,3092976995,2016,9,"$341,000","$352,600"
827,1 - 96 BARNES ST,3092977155,2016,8,"$385,000","$397,700"
827,5 - 102 BARNES ST,3092977280,2016,8,"$312,000","$322,300"
827,1 - 104 BARNES ST,3092977255,2017,9,"$350,000","$354,200"
827,3 - 104 BARNES ST,3092977245,2016,5,"$341,000","$350,900"
827,2 - 106 BARNES ST,3092977295,2017,8,"$317,500","$321,900"
827,2 - 112 BARNES ST,3092977200,2017,5,"$312,000","$318,200"
32,112 - 454 BELIVEAU RD E,8081219110,2018,2,"$167,000","$167,200"
32,113 - 454 BELIVEAU RD E,8081219130,2017,5,"$200,000","$202,000"
32,204 - 474 BELIVEAU RD E,8081219190,2016,2,"$170,000","$171,500"
32,205 - 474 BELIVEAU RD E,8081219210,2017,3,"$185,500","$187,700"
32,205 - 474 BELIVEAU RD E,8081219210,2017,12,"$199,900","$200,500"
32,211 - 474 BELIVEAU RD E,8081219225,2016,11,"$200,000","$203,200"
32,304 - 494 BELIVEAU RD E,8081219310,2017,8,"$204,000","$205,400"
32,308 - 494 BELIVEAU RD E,8081219315,2017,4,"$205,000","$207,300"
32,316 - 494 BELIVEAU RD E,8081219355,2018,2,"$184,000","$184,200"
32,319 - 494 BELIVEAU RD E,8081219385,2018,3,"$185,000","$185,000"
32,320 - 494 BELIVEAU RD E,8081219390,2016,1,"$206,400","$208,100"
69,A - 167 BELIVEAU RD,8004198200,2016,5,"$182,500","$187,800"
69,C - 173 BELIVEAU RD,8004196700,2017,8,"$209,900","$212,800"
69,E - 173 BELIVEAU RD,8004196500,2016,9,"$215,000","$222,300"
69,A - 177 BELIVEAU RD,8004196000,2017,6,"$220,000","$224,000"
69,B - 179 BELIVEAU RD,8004192700,2016,8,"$203,000","$209,700"
69,E - 179 BELIVEAU RD,8004193000,2017,10,"$247,400","$249,900"
727,110 - 180 BELIVEAU RD,8021255800,2017,10,"$172,500","$173,400"
727,303 - 180 BELIVEAU RD,8021257300,2017,2,"$198,000","$200,600"
727,305 - 180 BELIVEAU RD,8021257400,2016,5,"$180,000","$182,200"
727,309 - 180 BELIVEAU RD,8021257600,2018,1,"$165,500","$165,800"
727,503 - 180 BELIVEAU RD,8021259300,2016,7,"$218,000","$221,100"
727,508 - 180 BELIVEAU RD,8021259800,2016,2,"$175,000","$176,600"
69,B - 183 BELIVEAU RD,8004193600,2017,4,"$211,000","$215,600"
69,C - 183 BELIVEAU RD,8004193700,2017,10,"$206,000","$208,100"
69,B - 187 BELIVEAU RD,8004194800,2017,11,"$207,500","$209,200"
69,D - 187 BELIVEAU RD,8004195000,2016,7,"$192,000","$198,000"
69,F - 193 BELIVEAU RD,8004195100,2016,8,"$175,000","$180,800"
202,103 - 163 BERTRAND ST,6070543500,2017,11,"$195,500","$196,300"
202,104 - 163 BERTRAND ST,6070543600,2017,7,"$195,000","$196,600"
10,256 BERTRAND ST,6070047400,2016,5,"$242,000","$249,000"
404,15 - 700 BLANTYRE AVE,2061482700,2016,11,"$157,000","$162,200"
404,16 - 700 BLANTYRE AVE,2061483500,2016,9,"$172,000","$177,800"
404,5 - 700 BLANTYRE AVE,2061482500,2016,3,"$149,500","$153,500"
404,19 - 710 BLANTYRE AVE,2061484000,2016,9,"$163,000","$168,500"
404,20 - 710 BLANTYRE AVE,2061484800,2016,6,"$148,000","$152,400"
404,24 - 710 BLANTYRE AVE,2061485000,2016,6,"$149,000","$153,500"
404,26 - 710 BLANTYRE AVE,2061485400,2016,8,"$150,000","$155,000"
898,206 - 90 BOLE ST,12097803485,2016,8,"$336,000","$341,000"
898,503 - 90 BOLE ST,12097803530,2016,8,"$645,000","$654,700"
969,104 - 230 BONNER AVE,4007257275,2017,9,"$343,992","$346,100"
969,105 - 230 BONNER AVE,4007257280,2016,10,"$299,900","$305,000"
969,106 - 230 BONNER AVE,4007257285,2016,8,"$380,900","$386,600"
969,107 - 230 BONNER AVE,4007257290,2016,8,"$299,900","$304,400"
969,108 - 230 BONNER AVE,4007257295,2016,10,"$371,900","$378,200"
969,109 - 230 BONNER AVE,4007257300,2016,8,"$219,900","$223,200"
969,110 - 230 BONNER AVE,4007257305,2016,8,"$219,900","$223,200"
969,111 - 230 BONNER AVE,4007257310,2016,8,"$209,900","$213,000"
969,112 - 230 BONNER AVE,4007257315,2016,11,"$282,900","$287,400"
969,113 - 230 BONNER AVE,4007257320,2016,10,"$366,900","$373,100"
969,114 - 230 BONNER AVE,4007257325,2016,10,"$282,900","$287,700"
969,115 - 230 BONNER AVE,4007257330,2016,8,"$345,900","$351,100"
969,116 - 230 BONNER AVE,4007257335,2016,10,"$325,900","$331,400"
969,117 - 230 BONNER AVE,4007257340,2016,8,"$369,000","$374,500"
969,118 - 230 BONNER AVE,4007257345,2016,9,"$379,900","$386,000"
969,202 - 230 BONNER AVE,4007257355,2016,9,"$370,900","$376,800"
969,203 - 230 BONNER AVE,4007257360,2017,7,"$326,453","$329,100"
969,204 - 230 BONNER AVE,4007257365,2016,8,"$393,900","$399,800"
969,205 - 230 BONNER AVE,4007257370,2016,10,"$314,900","$320,300"
969,206 - 230 BONNER AVE,4007257375,2016,8,"$364,900","$370,400"
969,207 - 230 BONNER AVE,4007257380,2016,8,"$297,900","$302,400"
969,208 - 230 BONNER AVE,4007257385,2017,4,"$356,110","$360,000"
969,209 - 230 BONNER AVE,4007257390,2016,10,"$222,900","$226,700"
969,210 - 230 BONNER AVE,4007257395,2016,8,"$224,900","$228,300"
969,211 - 230 BONNER AVE,4007257400,2016,11,"$219,900","$223,400"
969,212 - 230 BONNER AVE,4007257405,2016,8,"$300,900","$305,400"
969,214 - 230 BONNER AVE,4007257415,2016,9,"$290,900","$295,600"
969,216 - 230 BONNER AVE,4007257425,2016,12,"$331,900","$336,900"
969,217 - 230 BONNER AVE,4007257430,2017,7,"$350,000","$352,800"
969,218 - 230 BONNER AVE,4007257435,2016,10,"$375,900","$382,300"
969,302 - 230 BONNER AVE,4007257445,2016,8,"$403,900","$410,000"
969,304 - 230 BONNER AVE,4007257455,2016,9,"$371,900","$377,900"
969,305 - 230 BONNER AVE,4007257460,2016,7,"$316,900","$321,300"
969,306 - 230 BONNER AVE,4007257465,2016,8,"$390,900","$396,800"
969,307 - 230 BONNER AVE,4007257470,2016,10,"$299,900","$305,000"
969,308 - 230 BONNER AVE,4007257475,2016,9,"$365,900","$371,800"
969,309 - 230 BONNER AVE,4007257480,2016,8,"$229,900","$233,300"
969,310 - 230 BONNER AVE,4007257485,2016,8,"$229,900","$233,300"
969,311 - 230 BONNER AVE,4007257490,2016,8,"$358,900","$364,300"
969,312 - 230 BONNER AVE,4007257495,2017,5,"$307,171","$310,200"
969,313 - 230 BONNER AVE,4007257500,2016,9,"$304,814","$309,700"
969,314 - 230 BONNER AVE,4007257505,2016,12,"$319,671","$324,500"
969,315 - 230 BONNER AVE,4007257510,2016,8,"$293,765","$298,200"
969,316 - 230 BONNER AVE,4007257515,2016,9,"$331,900","$337,200"
969,317 - 230 BONNER AVE,4007257520,2016,8,"$363,900","$369,400"
969,318 - 230 BONNER AVE,4007257525,2016,11,"$376,900","$382,900"
969,401 - 230 BONNER AVE,4007257530,2016,10,"$370,900","$377,200"
969,402 - 230 BONNER AVE,4007257535,2016,8,"$391,900","$397,800"
969,403 - 230 BONNER AVE,4007257540,2016,8,"$369,900","$375,400"
969,404 - 230 BONNER AVE,4007257545,2016,9,"$368,900","$374,800"
969,405 - 230 BONNER AVE,4007257550,2016,8,"$309,900","$314,500"
969,406 - 230 BONNER AVE,4007257555,2016,8,"$397,900","$403,900"
969,407 - 230 BONNER AVE,4007257560,2016,11,"$298,900","$303,700"
969,408 - 230 BONNER AVE,4007257565,2016,10,"$385,900","$392,500"
969,409 - 230 BONNER AVE,4007257570,2016,8,"$228,900","$232,300"
969,410 - 230 BONNER AVE,4007257575,2016,9,"$239,900","$243,700"
969,411 - 230 BONNER AVE,4007257580,2016,10,"$393,900","$400,600"
969,412 - 230 BONNER AVE,4007257585,2016,10,"$301,900","$307,000"
969,413 - 230 BONNER AVE,4007257590,2016,8,"$395,900","$401,800"
969,414 - 230 BONNER AVE,4007257595,2016,11,"$296,900","$301,700"
969,414 - 230 BONNER AVE,4007257595,2017,5,"$328,500","$331,800"
969,415 - 230 BONNER AVE,4007257600,2016,8,"$299,200","$303,700"
969,416 - 230 BONNER AVE,4007257605,2016,9,"$347,900","$353,500"
969,417 - 230 BONNER AVE,4007257610,2016,8,"$373,900","$379,500"
969,418 - 230 BONNER AVE,4007257615,2016,8,"$379,900","$385,600"
969,418 - 230 BONNER AVE,4007257615,2016,9,"$403,000","$409,400"
805,101 - 25 BRIDGELAND DR N,3091735200,2016,7,"$303,295","$307,500"
805,102 - 25 BRIDGELAND DR N,3091736100,2016,8,"$283,915","$288,200"
805,103 - 25 BRIDGELAND DR N,3091735300,2017,8,"$281,952","$283,900"
805,115 - 25 BRIDGELAND DR N,3092978280,2017,8,"$285,000","$287,000"
805,121 - 25 BRIDGELAND DR N,3092978295,2016,7,"$301,660","$305,900"
805,127 - 25 BRIDGELAND DR N,3092978310,2017,4,"$281,008","$284,100"
805,130 - 25 BRIDGELAND DR N,3092992560,2016,9,"$270,066","$274,400"
805,131 - 25 BRIDGELAND DR N,3092992490,2016,2,"$265,438","$267,800"
805,132 - 25 BRIDGELAND DR N,3092992555,2016,1,"$260,562","$262,600"
805,133 - 25 BRIDGELAND DR N,3092992495,2016,8,"$238,841","$242,400"
805,135 - 25 BRIDGELAND DR N,3092992500,2016,12,"$316,967","$321,700"
805,136 - 25 BRIDGELAND DR N,3092992550,2016,6,"$241,667","$244,800"
805,137 - 25 BRIDGELAND DR N,3092992505,2016,3,"$238,213","$240,600"
805,138 - 25 BRIDGELAND DR N,3092992545,2016,7,"$258,934","$262,600"
805,140 - 25 BRIDGELAND DR N,3092992540,2016,6,"$243,217","$246,400"
805,141 - 25 BRIDGELAND DR N,3092992515,2016,6,"$244,772","$248,000"
805,142 - 25 BRIDGELAND DR N,3092992535,2016,7,"$247,965","$251,400"
805,143 - 25 BRIDGELAND DR N,3092992520,2016,3,"$278,380","$281,200"
805,144 - 25 BRIDGELAND DR N,3092992530,2017,8,"$288,760","$290,800"
805,145 - 25 BRIDGELAND DR N,3092992525,2016,6,"$298,453","$302,300"
805,201 - 25 BRIDGELAND DR N,3091736200,2017,5,"$306,500","$309,600"
805,203 - 25 BRIDGELAND DR N,3091736300,2016,12,"$290,500","$294,900"
805,204 - 25 BRIDGELAND DR N,3091737200,2017,6,"$256,000","$258,300"
805,210 - 25 BRIDGELAND DR N,3091736900,2017,6,"$248,000","$250,200"
805,213 - 25 BRIDGELAND DR N,3092978340,2016,11,"$220,000","$223,500"
805,232 - 25 BRIDGELAND DR N,3092992635,2016,5,"$242,248","$245,200"
805,233 - 25 BRIDGELAND DR N,3092992570,2016,1,"$233,527","$235,400"
805,234 - 25 BRIDGELAND DR N,3092992630,2016,8,"$243,217","$246,900"
805,235 - 25 BRIDGELAND DR N,3092992575,2016,4,"$305,169","$308,500"
805,239 - 25 BRIDGELAND DR N,3092992585,2016,4,"$239,182","$241,800"
805,242 - 25 BRIDGELAND DR N,3092992610,2016,5,"$240,596","$243,500"
805,243 - 25 BRIDGELAND DR N,3092992595,2016,7,"$273,256","$277,100"
805,244 - 25 BRIDGELAND DR N,3092992605,2016,6,"$301,105","$305,000"
805,245 - 25 BRIDGELAND DR N,3092992600,2016,10,"$283,446","$288,300"
805,302 - 25 BRIDGELAND DR N,3091738500,2017,9,"$309,000","$310,900"
805,303 - 25 BRIDGELAND DR N,3091737500,2017,8,"$270,000","$271,900"
805,304 - 25 BRIDGELAND DR N,3091738400,2018,1,"$251,000","$251,500"
805,306 - 25 BRIDGELAND DR N,3091738300,2017,9,"$253,200","$254,700"
